Date,"Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428","Coal - Richards Bay,South Africa - India - RB2 (5500 NAR)",Pellet_Exw_Raipur,"Mumbai: Scrap Price 80:20 INR/t, 1047","Pig Iron, DAP-Raipur, India : Steel Grade","Sponge Iron, CDRI, DAP Durgapur, India : Mix (70% Lumps, 30% Fines), FeM 78% (+/-1)","Rebar, Exw-Mumbai, India : 12-25mm, IF Route,Fe 500, IS 1786","Sponge Iron, PDRI, Exw-Raipur, India : Lumps,FeM 80%, +/-1","Ingot, Exw-Raipur, India, 3.5 x 4.5 Inch, IS 2830","Billet, DAP-Mumbai, India,100x100mm, IS 2831","Rebar, Exw-Raipur, India : 12-25mm, IF Route,Fe 500, IS 1786",WPI_MS_Bright_Bars,Rebar production IF,"Structure-Angle, Exw-Mumbai, India : 75x75 Angle, IF Route,IS 2062/2011 E-250 Gr A","Structure-Angle, Exw-Durgapur, India : 130x130 Angle, IF Route,IS 2062/2011 E-250 Gr A","Price : Structure-Angle, Exw-Raipur, India : 150x150 Angle, IF Route,IS 2062/2011 E-250 Gr A"
2025-09-07,5500.0,74.0,10125.0,30950.0,33141.6666666667,26683.3333333333,44820.0,23408.3333333333,36350.0,39533.3333333333,39500.0,130.84,0.720533,47000.0,43816.6666666667,45000.0
2025-09-14,5500.0,73.0,10200.0,31300.0,33275.0,26900.0,44600.0,24058.3333333333,36708.3333333333,39700.0,39483.3333333333,130.28,0.720533,46866.6666666667,43716.6666666667,45416.6666666667
2025-09-21,5300.0,71.0,10200.0,31200.0,33100.0,26883.3333333333,44200.0,24240.0,36325.0,39483.3333333333,39866.6666666667,129.72,0.720533,46600.0,43510.0,45050.0
2025-09-28,5300.0,70.3,10200.0,31266.6666666667,32925.0,26850.0,44383.3333333333,24608.3333333333,36366.6666666667,39116.6666666667,39600.0,129.16,0.720533,45750.0,43350.0,44950.0
2025-10-05,5300.0,69.0,10200.0,30700.0,32880.0,26700.0,43750.0,24060.0,35840.0,38580.0,39733.3333333333,128.58,0.714899,45600.0,43250.0,44520.0
2025-10-12,5300.0,70.4,10200.0,30266.6666666667,32625.0,26333.3333333333,43000.0,23375.0,35108.3333333333,37866.6666666667,39260.0,128.56,0.712645,45416.6666666667,43000.0,43983.3333333333
2025-10-19,5300.0,71.1,10200.0,29916.6666666667,32091.6666666667,25750.0,42616.6666666667,22658.3333333333,34466.6666666667,37433.3333333333,38550.0,128.54,0.712645,45133.3333333333,42816.6666666667,43283.3333333333
2025-10-26,5300.0,71.25,9900.0,29666.6666666667,31833.3333333333,25266.6666666667,42350.0,22100.0,34166.6666666667,36866.6666666667,37916.6666666667,128.52,0.712645,45000.0,42050.0,42666.6666666667
2025-11-02,5300.0,71.8,9900.0,29900.0,31933.3333333333,25350.0,41533.3333333333,22716.6666666667,34525.0,37750.0,37433.3333333333,128.47,0.720366,45483.3333333333,42050.0,42883.3333333333
2025-11-09,5400.0,71.6,9900.0,30266.6666666667,32391.6666666667,25358.3333333333,41766.6666666667,22941.6666666667,34700.0,38033.3333333333,37683.3333333333,128.43,0.739667,45700.0,42050.0,42833.3333333333
